date,symbol,dividend,split
1999-06-21,TATAPOWER,0.357056,0.0
2000-04-06,TATAPOWER,0.357056,0.0
2000-07-11,TATAPOWER,0.048251,0.0
2001-07-09,TATAPOWER,0.482509,0.0
2002-05-29,TATAPOWER,0.482509,0.0
2003-07-04,TATAPOWER,0.627261,0.0
2004-06-08,TATAPOWER,0.675512,0.0
2005-07-12,TATAPOWER,0.723763,0.0
2006-07-07,TATAPOWER,0.820265,0.0
2007-07-17,TATAPOWER,0.916766,0.0
2008-08-18,TATAPOWER,1.013268,0.0
2009-07-14,TATAPOWER,1.10977,0.0
2010-08-16,TATAPOWER,1.158021,0.0
2011-08-02,TATAPOWER,1.206271,0.0
2011-09-26,TATAPOWER,0.0,10.0
2012-07-24,TATAPOWER,1.206271,0.0
2013-07-26,TATAPOWER,1.10977,0.0
2014-07-23,TATAPOWER,1.25,0.0
2015-07-20,TATAPOWER,1.3,0.0
2016-09-07,TATAPOWER,1.3,0.0
2017-08-10,TATAPOWER,1.3,0.0
2018-07-12,TATAPOWER,1.3,0.0
2019-06-04,TATAPOWER,1.3,0.0
2020-07-14,TATAPOWER,1.55,0.0
2021-06-17,TATAPOWER,1.55,0.0
2022-06-15,TATAPOWER,1.75,0.0
2023-06-07,TATAPOWER,2.0,0.0
2024-07-04,TATAPOWER,2.0,0.0
2025-06-20,TATAPOWER,2.25,0.0
2026-06-23,TATAPOWER,2.5,0.0
2003-04-10,GLAXO,3.5,0.0
2004-02-25,GLAXO,5.0,0.0
2005-03-16,GLAXO,12.0,0.0
2006-03-24,GLAXO,14.0,0.0
2007-03-14,GLAXO,15.5,0.0
2008-04-02,GLAXO,18.0,0.0
2009-03-18,GLAXO,29.0,0.0
2010-03-10,GLAXO,15.0,0.0
2011-03-14,GLAXO,20.0,0.0
2012-03-29,GLAXO,22.5,0.0
2013-04-04,GLAXO,25.0,0.0
2014-04-03,GLAXO,25.0,0.0
2015-07-23,GLAXO,31.25,0.0
2016-07-15,GLAXO,25.0,0.0
2017-07-14,GLAXO,15.0,0.0
2018-07-13,GLAXO,17.5,0.0
2018-09-11,GLAXO,0.0,2.0
2019-07-11,GLAXO,20.0,0.0
2020-07-17,GLAXO,40.0,0.0
2021-07-19,GLAXO,30.0,0.0
2022-07-07,GLAXO,90.0,0.0
2023-06-30,GLAXO,32.0,0.0
2024-05-31,GLAXO,32.0,0.0
2024-11-07,GLAXO,12.0,0.0
2025-05-30,GLAXO,42.0,0.0
2026-05-29,GLAXO,57.0,0.0
2003-06-10,TORNTPHARM,0.5,0.0
2004-06-17,TORNTPHARM,0.5,0.0
2005-06-09,TORNTPHARM,0.5,0.0
2006-02-20,TORNTPHARM,0.0,2.0
2006-06-15,TORNTPHARM,0.625,0.0
2007-03-23,TORNTPHARM,0.75,0.0
2008-06-19,TORNTPHARM,0.875,0.0
2009-06-08,TORNTPHARM,1.0,0.0
2010-06-04,TORNTPHARM,1.5,0.0
2011-06-06,TORNTPHARM,2.0,0.0
2012-01-27,TORNTPHARM,1.5,0.0
2012-06-11,TORNTPHARM,0.625,0.0
