date,dd
2015-05-12,-0.1572734080065089
2015-05-13,-0.1572734080065089
2015-05-14,-0.1572734080065089
2015-05-15,-0.1572734080065089
2015-05-18,-0.1572734080065089
2015-05-19,-0.1585374978944991
2015-05-20,-0.15757905273612038
2015-05-21,-0.15800701227700853
2015-05-22,-0.15795309250608314
2015-05-25,-0.16141493385301786
2015-05-26,-0.16378789798936166
2015-05-27,-0.16468319137751108
2015-05-28,-0.1648291939169374
2015-05-29,-0.15774237005158132
2015-06-01,-0.15900575649650395
2015-06-02,-0.17583975721177791
2015-06-03,-0.20211871799733072
2015-06-04,-0.20211871799733072
2015-06-05,-0.20211871799733072
2015-06-08,-0.20211871799733072
2015-06-09,-0.20211871799733072
2015-06-10,-0.20211871799733072
2015-06-11,-0.20211871799733072
2015-06-12,-0.20211871799733072
2015-06-15,-0.20211871799733072
2015-06-16,-0.20211871799733072
2015-06-17,-0.20211871799733072
2015-06-18,-0.20211871799733072
2015-06-19,-0.20211871799733072
2015-06-22,-0.20211871799733072
2015-06-23,-0.20211871799733072
2015-06-24,-0.2033155399203347
2015-06-25,-0.20204447132302894
2015-06-26,-0.20324140461604434
2015-06-29,-0.21706022349500664
2015-06-30,-0.20607337469721942
2015-07-01,-0.20607337469721942
2015-07-02,-0.20726426463517356
2015-07-03,-0.20697768666660976
2015-07-06,-0.19374526497353695
2015-07-07,-0.18670590202649973
2015-07-08,-0.19629382457245803
2015-07-09,-0.194921417263889
2015-07-10,-0.1917932740966921
2015-07-13,-0.18045749131668898
2015-07-14,-0.17362235927388725
2015-07-15,-0.16749300234876274
2015-07-16,-0.16080147114050936
2015-07-17,-0.15721135708776623
2015-07-20,-0.15187368064575824
2015-07-21,-0.16906734845393245
2015-07-22,-0.15821241777786688
2015-07-23,-0.1547186243379297
2015-07-24,-0.15975651011451353
2015-07-27,-0.17016247551132835
2015-07-28,-0.1709946630238297
2015-07-29,-0.1631513081082584
2015-07-30,-0.15291865636172441
2015-07-31,-0.14460559084424884
2015-08-03,-0.1347630826069569
2015-08-04,-0.12674705976072154
2015-08-05,-0.1151432625112857
2015-08-06,-0.11588912293212139
2015-08-07,-0.11670876354032
2015-08-10,-0.11884207533431612
2015-08-11,-0.1301027077643785
2015-08-12,-0.15511284741852582
2015-08-13,-0.16766981350294785
2015-08-14,-0.1498243681122876
2015-08-17,-0.14558186283573837
2015-08-18,-0.13652902366582964
2015-08-19,-0.1309467094771104
2015-08-20,-0.15152403455485364
2015-08-21,-0.15905549865596336
2015-08-24,-0.24255358333145527
2015-08-25,-0.23602535805684888
2015-08-26,-0.23602535805684888
2015-08-27,-0.23602535805684888
2015-08-28,-0.23602535805684888
2015-08-31,-0.23602535805684888
2015-09-01,-0.23602535805684888
2015-09-02,-0.23602535805684888
2015-09-03,-0.23602535805684888
2015-09-04,-0.23602535805684888
2015-09-07,-0.23602535805684888
2015-09-08,-0.23602535805684888
2015-09-09,-0.23602535805684888
2015-09-10,-0.23602535805684888
2015-09-11,-0.23602535805684888
2015-09-14,-0.23602535805684888
2015-09-15,-0.23602535805684888
2015-09-16,-0.23602535805684888
2015-09-18,-0.23602535805684888
2015-09-21,-0.23602535805684888
2015-09-22,-0.2371713200197635
2015-09-23,-0.2330157503455842
2015-09-24,-0.2330157503455842
2015-09-28,-0.2341662267200657
2015-09-29,-0.2358990888440794
2015-09-30,-0.2358990888440794
2015-10-01,-0.2370452402108132
2015-10-05,-0.2216899356780211
2015-10-06,-0.21291487651616536
2015-10-07,-0.20597506184987624
2015-10-08,-0.20678436333035488
2015-10-09,-0.20396434695364707
2015-10-12,-0.2017913445188111
2015-10-13,-0.19569606466711298
2015-10-14,-0.1930684326736688
2015-10-15,-0.18826519228353256
2015-10-16,-0.18627736859017685
2015-10-19,-0.1787225573090302
2015-10-20,-0.1745926857983362
2015-10-21,-0.17458040188382895
2015-10-23,-0.1771466382049478
2015-10-26,-0.1847391773736431
